exhaust, 배기가스
desultory, 일관성 없는
indeterminate, 불확정
onerous, 번거로운
assuage, 진정시키다
opprobrium, 욕설
attenuate, 가늘게 하다
euphemism, 완곡 어법
indolent, 나태한
audacious, 대담한
ostentatious, 허식적인
austere, 남풍
diffidence, 자신감
pate, 머리
ingenuous, 솔직한
exigency, 급박
digression, 여담
extrapolation, 외삽법
innocuous, 무해한
banal, 평범한
dirge, 만가
insensible, 무감각한
discordant, 귀에 거슬리는
fatuous, 얼빠진
penury, 가난
bombastic, 과장된
fawn, 엷은 황갈색
boorish, 야만적인
inundate, 넘쳐나다
buttress, 부벽
disinterested, 사심 없는
invective, 독설
cacophonous, 불협화음의
disjoint, 분리된
flout, 비웃다
irascible, 화를 잘 내는
phlegmatic, 점액질의
foment, 선동하다
irresolute, 우유부단한
piety, 경건
castigation, 견책
laconic, 간결한
lassitude, 나른함
platitude, 단조
proscribe, 금지하다
truculence, 흉포
pungent, 날카로운
reticent, 말이 없는
vacillate, 동요하다
preamble, 전문
quibble, 애매한 말
sage, 세이지
striate, 줄무늬
veracious, 진실한
salubrious, 건강에 좋은
verbose, 말 수가 많은
rarefy, 얇은
subpoena, 소환장
presumptuous, 주제넘은
recalcitrant, 고집 불통
satiate, 만족시키다
recant, 철회하다
vituperative, 통렬한
probity, 정직
recondite, 숨겨진
unwarranted, 부당한
refractory, 내화 물질
shard, 사금파리
prodigal, 탕자
whimsical, 이상한
prohibitive, 금지된
reproach, 치욕
soporific, 최면제
tirade, 장황한 연설
reprobate, 사악한
torpor, 무기력
tortuous, 비뚤어진
hexagon, 육각형
monologue, 독백
quadrangle, 사각형
folktale, 민담
casestudy, 사례 연구
fallbehind, 케이스 비활성화됨
knockdown, 다운
subsidiary, 자회사
implausible, 믿을 수 없는
incompatible, 호환되지 않는
unconvinced, 확신이 없는
climatechange, 기후변화
fossilfuels, 화석연료
afterafashion, 애프터 패션
extroversion, 외전
intriguingly, 흥미롭게도
keepalowprofile, 유지 프로필
spine, 척추
surreal, 초현실적인
disapproval, 난색
SpeechRecognition, 음성인식
inadvertent, 부주의한
undercooked, 덜 익은
rustic, 거칠게 만든
cautionary, 주의
spectacle, 안경
creed, 신조
sleek, 매끄러운
proverb, 속담
inthisregard, 이에 관하여
longhaul, 장거리
shortfall, 부족
unemotional, 감정이 없는
multigrade, 다등급
trickery, 속임수
illusive, 환상의
rewind, 되감기
atstake, 공격하다
boardingschool, 기숙학교
atheistic, 무신론자
freetrade, 자유 무역
tornado, 폭풍
centric, 중심의
supermassive, 초대형
strikeabalance, 균형
poreover, 가난한
navicular, 주상골의
shunt, 분로
symptomatic, 증상이 있는
hamstring, 햄스트링
chartered, 전세
accountant, 회계사
folder, 접는 사람
midair, 공중
falsepositive, 거짓 긍정
implicity, 암시성
genderequality, 성평등
overfish, 남획하다
oceanologist, 해양학자
frivolous, 천박한
acclimate, 익다
tong, 통
translocation, 전위
torturous, 고통스러운
irrational, 비합리적인
entomophagy, 곤충 소비
yellowfever, 황열병
telegenic, 텔레제닉
statistic, 통계량
entourage, 측근자
arbitrate, 중재하다
concussive, 뇌진탕
convincible, 설득력 있는
covert, 은밀한
dastard, 겁쟁이
devotion, 헌신
diffident, 자신 없는
discursion, 담화
dispersion, 분산
femininity, 여성
individuality, 개성
individualize, 개별화하다
obligate, 고맙게 여기게 하다
patronize, 애용하다
promotional, 프로모션
pseudo, 의사
representatively, 대표적으로
squabble, 싸움
subordinative, 종속적인
tentative, 잠정적인
flowdiagram, 흐름도
micro-computer, 초소형 컴퓨터
redundant, 많은
rock-climbing, 암벽등반
hygienic, 위생
concessioncard, 할인 카드
accessto, 접속하다
ahost, 호스트
deference, 복종
pricey, 비싼
drop-out, 탈락
enologist, 생태학자
mesmerize, 최면을 걸다
anaesthesia, 마취
blonde, 금발의
sombre, 침침한
speciality, 전문
fervour, 열렬
democratise, 민주화하다
tumour, 종양
nanometre, 나노미터
palaeontologist, 고생물학자
extol, 찬양하다
gruelling, 지독한
